time,frequency_hz,note,confidence
0.0000,250.44,B3+24c,0.5537
0.0100,249.85,B3+20c,0.8154
0.0200,253.17,B3+43c,0.7448
0.0300,257.97,C4-24c,0.6115
0.0400,262.91,C4+9c,0.6495
0.0500,261.72,C4+1c,0.6972
0.0600,261.28,C4-2c,0.6056
0.0700,266.22,C4+30c,0.5007
0.0800,266.67,C4+33c,0.4383
0.0900,268.57,C4+45c,0.3936
0.1000,264.43,C4+18c,0.3871
0.1100,247.84,rest,0.0347
0.1200,226.78,rest,0.0243
0.1300,210.89,rest,0.0231
0.1400,196.49,G3+4c,0.5183
0.1500,194.63,G3-12c,0.6107
0.1600,194.35,G3-15c,0.7800
0.1700,193.97,G3-18c,0.8651
0.1800,195.87,G3-1c,0.9001
0.1900,194.61,G3-12c,0.9216
0.2000,192.69,G3-29c,0.9222
0.2100,195.03,G3-9c,0.9274
0.2200,194.99,G3-9c,0.9100
0.2300,192.79,G3-29c,0.8993
0.2400,194.86,G3-10c,0.8785
0.2500,193.14,G3-25c,0.8829
0.2600,194.94,G3-9c,0.8880
0.2700,195.57,G3-4c,0.8910
0.2800,193.75,G3-20c,0.8791
0.2900,194.24,G3-16c,0.8734
0.3000,196.28,G3+2c,0.8970
0.3100,196.12,G3+1c,0.8985
0.3200,195.78,G3-2c,0.8766
0.3300,194.42,G3-14c,0.8616
0.3400,194.98,G3-9c,0.7990
0.3500,193.83,G3-19c,0.7722
0.3600,196.21,G3+2c,0.7959
0.3700,194.63,G3-12c,0.8455
0.3800,194.22,G3-16c,0.8572
0.3900,193.51,G3-22c,0.8766
0.4000,194.21,G3-16c,0.8857
0.4100,193.70,G3-20c,0.8869
0.4200,194.12,G3-17c,0.8974
0.4300,196.10,G3+1c,0.8963
0.4400,194.57,G3-13c,0.9061
0.4500,196.28,G3+2c,0.9025
0.4600,193.13,G3-26c,0.9213
0.4700,192.97,G3-27c,0.9274
0.4800,194.42,G3-14c,0.9411
0.4900,195.65,G3-3c,0.9252
0.5000,193.83,G3-19c,0.8317
0.5100,196.07,G3+1c,0.7380
0.5200,194.63,G3-12c,0.7891
0.5300,198.15,G3+19c,0.9136
0.5400,197.83,G3+16c,0.9279
0.5500,194.05,G3-17c,0.9241
0.5600,192.87,G3-28c,0.9327
0.5700,195.46,G3-5c,0.9297
0.5800,195.60,G3-3c,0.9337
0.5900,195.10,G3-8c,0.9297
0.6000,193.84,G3-19c,0.9152
0.6100,194.44,G3-14c,0.9082
0.6200,193.47,G3-23c,0.9124
0.6300,195.34,G3-6c,0.9160
0.6400,195.55,G3-4c,0.9041
0.6500,194.49,G3-13c,0.8942
0.6600,195.09,G3-8c,0.8949
0.6700,193.76,G3-20c,0.8932
0.6800,194.32,G3-15c,0.8970
0.6900,196.22,G3+2c,0.8643
0.7000,195.08,G3-8c,0.8959
0.7100,194.32,G3-15c,0.8821
0.7200,193.05,G3-26c,0.8898
0.7300,195.23,G3-7c,0.8627
0.7400,194.41,G3-14c,0.8303
0.7500,194.29,G3-15c,0.7976
0.7600,195.69,G3-3c,0.8298
0.7700,194.33,G3-15c,0.8781
0.7800,194.16,G3-16c,0.8825
0.7900,193.51,G3-22c,0.8972
0.8000,193.07,G3-26c,0.8787
0.8100,193.06,G3-26c,0.9020
0.8200,194.92,G3-10c,0.8758
0.8300,194.08,G3-17c,0.8972
0.8400,193.94,G3-18c,0.8785
0.8500,193.93,G3-18c,0.9032
0.8600,194.86,G3-10c,0.8931
0.8700,194.25,G3-16c,0.9099
0.8800,194.76,G3-11c,0.8959
0.8900,195.36,G3-6c,0.8937
0.9000,194.95,G3-9c,0.9040
0.9100,195.30,G3-6c,0.9177
0.9200,196.16,G3+1c,0.9048
0.9300,196.44,G3+4c,0.9264
0.9400,196.48,G3+4c,0.9413
0.9500,195.68,G3-3c,0.9343
0.9600,197.04,G3+9c,0.9281
0.9700,197.82,G3+16c,0.9188
0.9800,197.18,G3+10c,0.9298
0.9900,197.68,G3+15c,0.9280
1.0000,196.19,G3+2c,0.9228
1.0100,197.95,G3+17c,0.9246
1.0200,197.31,G3+12c,0.9233
1.0300,197.57,G3+14c,0.9274
1.0400,196.36,G3+3c,0.9223
1.0500,196.36,G3+3c,0.9069
1.0600,197.06,G3+9c,0.9153
1.0700,196.31,G3+3c,0.9144
1.0800,195.30,G3-6c,0.9262
1.0900,196.48,G3+4c,0.9200
1.1000,195.21,G3-7c,0.9123
1.1100,197.96,G3+17c,0.9075
1.1200,198.33,G3+21c,0.9098
1.1300,196.06,G3+1c,0.9091
1.1400,197.30,G3+12c,0.8921
1.1500,196.37,G3+3c,0.8917
1.1600,197.85,G3+16c,0.8997
1.1700,196.20,G3+2c,0.9194
1.1800,197.43,G3+13c,0.9273
1.1900,196.42,G3+4c,0.9273
1.2000,196.01,G3+0c,0.9265
1.2100,196.78,G3+7c,0.9186
1.2200,196.87,G3+8c,0.9096
1.2300,198.41,G3+21c,0.8899
1.2400,197.49,G3+13c,0.8325
1.2500,196.40,G3+4c,0.6849
1.2600,197.10,G3+10c,0.6585
1.2700,196.63,G3+6c,0.7511
1.2800,196.51,G3+5c,0.7713
1.2900,197.40,G3+12c,0.8436
1.3000,197.21,G3+11c,0.8960
1.3100,196.81,G3+7c,0.9130
1.3200,197.38,G3+12c,0.9259
1.3300,196.14,G3+1c,0.9410
1.3400,197.22,G3+11c,0.9390
1.3500,194.84,G3-10c,0.9386
1.3600,196.72,G3+6c,0.9133
1.3700,198.29,G3+20c,0.8922
1.3800,196.74,G3+7c,0.8127
1.3900,195.26,G3-7c,0.7107
1.4000,196.27,G3+2c,0.4068
1.4100,197.48,G3+13c,0.4068
1.4200,196.25,G3+2c,0.5165
1.4300,197.58,G3+14c,0.6583
1.4400,196.54,G3+5c,0.7617
1.4500,194.86,G3-10c,0.8438
1.4600,195.62,G3-3c,0.8745
1.4700,197.08,G3+10c,0.8843
1.4800,196.67,G3+6c,0.8802
1.4900,197.81,G3+16c,0.9012
1.5000,195.72,G3-2c,0.8924
1.5100,195.71,G3-3c,0.8978
1.5200,197.11,G3+10c,0.8870
1.5300,198.16,G3+19c,0.9088
1.5400,198.84,G3+25c,0.9139
1.5500,195.38,G3-5c,0.9082
1.5600,196.59,G3+5c,0.9021
1.5700,196.37,G3+3c,0.8817
1.5800,198.37,G3+21c,0.8867
1.5900,196.68,G3+6c,0.8660
1.6000,197.27,G3+11c,0.7346
1.6100,197.44,G3+13c,0.6982
1.6200,199.57,G3+31c,0.7734
1.6300,198.90,G3+25c,0.8174
1.6400,195.25,G3-7c,0.8393
1.6500,194.54,G3-13c,0.8772
1.6600,194.14,G3-16c,0.9106
1.6700,195.07,G3-8c,0.9038
1.6800,193.97,G3-18c,0.9126
1.6900,192.92,G3-27c,0.9080
1.7000,194.58,G3-13c,0.9052
1.7100,192.91,G3-27c,0.8918
1.7200,193.78,G3-20c,0.8800
1.7300,195.16,G3-7c,0.8782
1.7400,193.85,G3-19c,0.8653
1.7500,193.92,G3-18c,0.8743
1.7600,193.88,G3-19c,0.8727
1.7700,195.81,G3-2c,0.8666
1.7800,193.43,G3-23c,0.8338
1.7900,194.56,G3-13c,0.8182
1.8000,193.81,G3-19c,0.7691
1.8100,194.91,G3-10c,0.6989
1.8200,194.57,G3-13c,0.7025
1.8300,192.69,G3-29c,0.7161
1.8400,194.87,G3-10c,0.7947
1.8500,194.60,G3-12c,0.8414
1.8600,194.25,G3-15c,0.8703
1.8700,194.68,G3-12c,0.8690
1.8800,193.98,G3-18c,0.9080
1.8900,194.94,G3-9c,0.8939
1.9000,192.93,G3-27c,0.9037
1.9100,193.56,G3-22c,0.9086
1.9200,192.99,G3-27c,0.9153
1.9300,194.66,G3-12c,0.9011
1.9400,198.50,G3+22c,0.8948
1.9500,196.43,G3+4c,0.8810
1.9600,196.74,G3+7c,0.8044
1.9700,199.36,G3+29c,0.7370
1.9800,199.22,G3+28c,0.5906
1.9900,201.09,G3+44c,0.4615
2.0000,201.72,G3+50c,0.4737
2.0100,200.74,G3+41c,0.6623
2.0200,201.11,G3+45c,0.7570
2.0300,203.23,Ab3-37c,0.7763
2.0400,204.35,Ab3-28c,0.8648
2.0500,205.26,Ab3-20c,0.8756
2.0600,203.92,Ab3-31c,0.8259
2.0700,204.97,Ab3-23c,0.8529
2.0800,204.99,Ab3-22c,0.9219
2.0900,207.19,Ab3-4c,0.9308
2.1000,206.19,Ab3-12c,0.9258
2.1100,205.44,Ab3-19c,0.9401
2.1200,206.75,Ab3-8c,0.9337
2.1300,204.95,Ab3-23c,0.9061
2.1400,204.81,Ab3-24c,0.8913
2.1500,205.24,Ab3-20c,0.9262
2.1600,206.38,Ab3-11c,0.9423
2.1700,206.53,Ab3-9c,0.9390
2.1800,205.46,Ab3-18c,0.9338
2.1900,205.56,Ab3-17c,0.9059
2.2000,204.77,Ab3-24c,0.8533
2.2100,207.62,Ab3+0c,0.8085
2.2200,206.55,Ab3-9c,0.8576
2.2300,207.54,Ab3-1c,0.9126
2.2400,207.31,Ab3-3c,0.9271
2.2500,204.89,Ab3-23c,0.9310
2.2600,205.71,Ab3-16c,0.9330
2.2700,206.45,Ab3-10c,0.9241
2.2800,205.01,Ab3-22c,0.8891
2.2900,208.18,Ab3+4c,0.8771
2.3000,208.48,Ab3+7c,0.8579
2.3100,208.58,Ab3+8c,0.5834
2.3200,223.63,A3+28c,0.3610
2.3300,235.90,Bb3+21c,0.5441
2.3400,232.51,Bb3-4c,0.3808
2.3500,234.73,Bb3+12c,0.3170
2.3600,234.92,Bb3+14c,0.3927
2.3700,232.05,Bb3-8c,0.5095
2.3800,233.17,Bb3+1c,0.7037
2.3900,232.93,Bb3-1c,0.8797
2.4000,233.55,Bb3+4c,0.9219
2.4100,233.69,Bb3+4c,0.9192
2.4200,234.26,Bb3+9c,0.8839
2.4300,230.50,Bb3-19c,0.9047
2.4400,231.77,Bb3-10c,0.9060
2.4500,232.35,Bb3-5c,0.9095
2.4600,231.22,Bb3-14c,0.9016
2.4700,232.75,Bb3-2c,0.8561
2.4800,231.29,Bb3-13c,0.8119
2.4900,232.18,Bb3-7c,0.7510
2.5000,233.38,Bb3+2c,0.6307
2.5100,230.42,Bb3-20c,0.5452
